name, hazType,stdXdist,stdSLdist,rangeXdist ,maxSLdist, RT, action
S82,1,50.4946,50.4093,174.4852,217.5003,6.88,1
S43,1,50.5071,50.4027,174.0882,187.9157,8.08,1
S85,1,50.6093,50.4565,174.4976,196.8446,7.62,1
S32,1,50.9167,50.8469,176.2794,248.2615,6.19,2
S27,1,51.1185,51.0427,176.5919,232.3337,6.61,3
S19,1,51.1389,51.0349,176.8426,215.4244,7.14,1
S48,0,51.1808,51.126,176.6794,224.0683,5.85,1
S2,1,51.5287,51.4089,178.6655,195.32,7.92,2
S105,1,52.2355,52.1434,180.0202,189.0667,7.92,1
S33,1,52.5992,52.4998,181.6897,209.7462,7.49,3
S65,1,52.6408,52.4868,182.2107,202.8942,7.67,2
S81,1,52.7342,52.6565,182.3934,225.0384,6.89,1
S37,1,52.9202,52.857,182.7461,212.8261,7.21,3
S54,1,53.2632,53.1804,184.0857,211.1156,7.38,1
S41,0,53.3094,53.0082,181.5185,177.6794,7.78,1
S40,1,53.4,53.2875,184.5664,214.1407,7.35,2
S72,1,53.5791,53.4879,185.1384,209.0357,7.48,1
S41,1,53.9126,53.8284,186.1017,206.9784,7.67,1
S15,1,54.3188,54.215,187.086,190.7653,8.45,1
S92,1,55.9407,55.8717,193.2126,219.4085,7.55,1
S88,1,56.7783,56.6729,196.1776,223.2155,7.49,1
S45,1,60.4735,60.3718,209.1634,254.0974,7.23,2
S56,1,61.4488,61.3262,212.1077,226.2573,8.18,1
S80,1,62.1092,62.0317,214.7748,253.0315,7.4,2
S77,1,62.8236,62.7029,217.0222,232.6163,8.09,2
