Subject_Num,HazType,Speed,x_dist,y_dist,sl_dist,angle,turn,signal_type,stop,action,RT
S80,1,23.33,-252.93,-7.09,253.03,-178.39,1,1,0,2,8.55
S80,2,23.34,-136.29,-18.61,137.56,-172.23,0,0,1,1,3.12
S81,3,19.9,86.42,24.19,89.74,15.64,0,0,0,3,2.57
S81,1,20.61,224.92,7.27,225.04,1.85,1,1,0,1,6.89
S81,0,22.25,190.04,7.19,190.18,2.17,1,1,1,2,5.64
S82,2,18.53,109.93,19.07,111.57,9.84,0,0,1,1,2.73
S82,1,19.46,217.4,6.61,217.5,1.74,1,1,0,1,6.88
S82,0,20.07,178.68,7.41,178.83,2.37,1,1,1,1,5.59
S83,1,16.37,191.12,7.16,191.26,2.15,1,1,0,3,6.76
S83,0,16.92,155.44,7.56,155.62,2.78,1,1,1,3,5.54
S83,2,17.01,100.7,19.34,102.54,10.87,0,0,1,1,2.72
S84,3,18.06,-77.78,23.2,81.16,163.39,0,0,0,1,2.61
S84,2,18.66,-109.27,-18.87,110.88,-170.2,0,0,1,1,2.54
S84,0,19.52,-170.34,-7.92,170.52,-177.34,1,1,1,1,6.49
S85,2,16.18,-94.87,-19.12,96.78,-168.61,0,0,1,1,2.02
S85,1,16.56,-196.7,-7.42,196.84,-177.84,1,1,0,1,7.62
S85,3,20.2,-88.44,23.56,91.53,165.09,0,0,0,4, NaN
S86,1,15.78,-188.11,-7.19,188.25,-177.81,1,1,0,1,6.13
S86,3,15.97,-70.97,23.5,74.76,161.68,0,0,0,3,3.28
S86,2,18.21,-107.02,-18.66,108.64,-170.11,0,0,1,1,1.79
S87,3,16.13,70.96,23.82,74.85,18.55,0,0,0,1,2.12
S87,0,16.75,150.2,7.3,150.37,2.78,1,1,1,1,5.85
S87,1,16.8,193.19,7.28,193.33,2.16,1,1,0,4, NaN
S88,2,18.51,109.41,19.36,111.11,10.04,0,0,1,1,3.71
S88,0,18.73,168.91,7.32,169.07,2.48,1,1,1,1,5.77
S88,1,20.09,223.12,6.69,223.22,1.72,1,1,0,1,7.49
S89,3,16.87,-72.62,22.77,76.1,162.59,0,0,0,2,2.45
S89,0,18.02,-159.3,-7.6,159.48,-177.27,1,1,1,1,6.29
S89,2,19.38,-113.6,-18.95,115.17,-170.53,0,0,1,2,2.34
S9,0,19.38,-169.38,-7.56,169.55,-177.45,1,1,1,1,5.44
S9,2,20.42,-119.63,-18.85,121.11,-171.05,0,0,1,1,3.19
S9,3,22.79,-98.97,22.7,101.54,167.08,0,0,0,1,1.88
S90,2,15.97,-93.95,-19.53,95.96,-168.26,0,0,1,1,3.28
S90,1,16.26,-194.03,-7.66,194.18,-177.74,1,1,0,3,7.76
S90,3,18.27,-80.36,23.52,83.73,163.69,0,0,0,1,2.33
S91,0,14.45,133.51,7.38,133.71,3.16,1,1,1,2,7.03
S91,1,18.51,208.41,7.25,208.54,1.99,1,1,0,3,6.54
S91,3,19.18,84.04,24.02,87.41,15.95,0,0,0,1,2.58
S92,0,16.18,145.94,6.88,146.1,2.7,1,1,1,3,5.34
S92,1,19.99,219.3,6.82,219.41,1.78,1,1,0,1,7.55
S92,3,20.54,89.43,24.17,92.64,15.12,0,0,0,3,3.34
S94,0,16.66,153.27,7.64,153.46,2.85,1,1,1,4, NaN
S94,1,16.97,194.9,7.08,195.03,2.08,1,1,0,1,6.69
S94,2,20.45,120.66,18.86,122.12,8.88,0,0,1,3,3.84
S95,3,12.53,-54.05,23.2,58.82,156.77,0,0,0,1,1.96
S95,2,13.09,-77.27,-18.91,79.55,-166.25,0,0,1,1,2.79
S95,0,13.74,-127.65,-7.36,127.87,-176.7,1,1,1,1,6.7
S96,1,20.08,-224.13,-6.76,224.23,-178.27,1,1,0,1,6.69
S96,3,21.59,-95.16,23.82,98.09,165.95,0,0,0,3,3.39
S96,2,23.17,-135.65,-18.59,136.92,-172.2,0,0,1,1,2.56
S97,2,15.93,-94.19,-18.32,95.96,-169,0,0,1,1,2.3
S97,3,16.15,-69.65,23.39,73.48,161.44,0,0,0,1,2.05
S97,0,17.04,-152.4,-7.27,152.57,-177.27,1,1,1,1,5.47
S99,1,19.24,212.48,7.15,212.6,1.93,1,1,0,1,5.67
S99,3,19.33,84.4,24.12,87.78,15.95,0,0,0,1,3.44
S99,0,19.43,170.37,6.81,170.5,2.29,1,1,1,3,1.83
